,dog_facilities_name,dog_facilities_type,address_name,re_dog_facilities_type
0,한강동물메디컬센터,동물병원,남양주 퇴계원읍,병원
1,이쁜강아지,반려동물미용,남양주 퇴계원읍,미용
2,홍지연애견샵,반려동물미용,남양주 퇴계원읍,미용
3,반하개,반려동물미용,남양주 퇴계원읍,미용
4,멍멍s 패밀리,반려동물미용,남양주 퇴계원읍,미용
5,산책가개,반려동물미용,남양주 퇴계원읍,미용
6,한강동물약품,축산업용품,남양주 퇴계원읍,약국
7,라움헤어,미용실,남양주 퇴계원읍,0
8,미엘약국,약국,남양주 퇴계원읍,약국
9,큐티댕냥애견강아지고양이무료분양,반려동물,남양주 퇴계원읍,0
