,dog_facilities_name,dog_facilities_type,address_name,re_dog_facilities_type
0,앵무새촌,동물원,남양주 조안면,0
1,익스트림 어질리티클럽,애견훈련,남양주 조안면,위탁
2,한국애견학교,애견훈련,남양주 조안면,위탁
3,도기파파반려견학교,애견훈련,남양주 조안면,위탁
4,도기존애견훈련학교,반려동물,남양주 조안면,0
5,큐티댕냥애견강아지고양이무료분양,반려동물,남양주 조안면,0
