행정동,hospital,product,pharmacy,foster_place,beauty,all_facilities,ratio
와부읍,0.4166666666666667,0.45454545454545453,0.2,1.0,0.2222222222222222,0.35294117647058826,0.5099400440268874
진접읍,0.6666666666666666,0.7272727272727273,0.5333333333333333,0.875,0.3333333333333333,0.5441176470588235,0.764752287605166
화도읍,0.5833333333333334,0.8181818181818182,0.26666666666666666,0.375,0.7037037037037037,0.5735294117647058,1.0
진건읍,0.08333333333333333,0.09090909090909091,0.13333333333333333,0.5,0.18518518518518517,0.14705882352941177,0.17213632057068626
오남읍,0.25,0.45454545454545453,0.3333333333333333,0.25,0.37037037037037035,0.3235294117647059,0.5369201639366215
퇴계원읍,0.08333333333333333,0.0,0.13333333333333333,0.0,0.18518518518518517,0.07352941176470588,0.1790785736227995
별내면,0.08333333333333333,0.0,0.06666666666666667,0.125,0.037037037037037035,0.014705882352941176,0.10602713786393467
수동면,0.0,0.18181818181818182,0.06666666666666667,0.125,0.037037037037037035,0.029411764705882353,0.05601136002963519
조안면,0.0,0.0,0.0,0.375,0.0,0.0,0.0011044493533893948
호평동,0.25,0.18181818181818182,0.4,0.25,0.2222222222222222,0.23529411764705882,0.43389081720107814
평내동,0.16666666666666666,0.18181818181818182,0.13333333333333333,0.25,0.2222222222222222,0.16176470588235295,0.3310192489006998
금곡동,0.25,0.18181818181818182,0.13333333333333333,0.0,0.0,0.058823529411764705,0.14704954243595397
양정동,0.0,0.18181818181818182,0.0,0.125,0.0,0.0,0.0
다산동,1.0,1.0,1.0,0.75,1.0,1.0,0.7821079203890663
별내동,0.5833333333333334,1.0,0.3333333333333333,0.5,0.7407407407407407,0.6470588235294118,0.6063426945806476
