,상호명,카테고리,주소
0,금배근린공원,근린공원,남양주 호평동
1,늘을중앙공원,근린공원,남양주 호평동
2,구석기역사공원,근린공원,남양주 호평동
3,호평동근린공원,근린공원,남양주 호평동
4,호평4호공원,근린공원,남양주 호평동
5,호평5호공원,근린공원,남양주 호평동
6,호평3호공원,근린공원,남양주 호평동
7,호평2호공원,근린공원,남양주 호평동
8,호평1호공원,근린공원,남양주 호평동
9,호평물놀이장,수영장,남양주 호평동
10,우리미아파트옆호평근린공원안개방화장실,화장실,남양주 호평동
11,효꽃집농협장례식장문화원시민하늘공원조화,"꽃집,꽃배달",남양주 호평동
12,경기도수목장추모공원납골당상담전화,납골당,남양주 호평동
