행정동,care_facilities
와부읍,32
진접읍,32
화도읍,64
진건읍,0
오남읍,0
퇴계원읍,0
별내면,32
수동면,32
조안면,0
호평동,0
평내동,0
금곡동,64
양정동,0
다산동,32
별내동,32
