지역구,읍면동(법정동),내장형,외장형,인식표,동물소유자수,동물소유자당 동물등록수
진해구,마천동,144,64,49,191,1.35
진해구,무송동,3,0,2,4,1.25
진해구,부흥동,16,10,7,27,1.22
진해구,북부동,13,32,18,41,1.54
진해구,서중동,10,6,1,13,1.31
진해구,성내동,8,0,2,9,1.11
진해구,소사동,36,14,8,43,1.35
진해구,속천동,39,25,14,54,1.44
진해구,송학동,10,7,6,19,1.21
진해구,수도동,2,3,2,4,1.75
진해구,수송동,10,12,3,16,1.56
진해구,숭인동,23,7,8,22,1.73
진해구,신흥동,110,43,42,151,1.29
진해구,안곡동,4,1,3,7,1.14
진해구,안골동,117,57,45,148,1.48
진해구,여좌동,318,169,308,578,1.38
진해구,용원동,904,517,212,1194,1.37
진해구,원포동,4,3,0,6,1.17
진해구,익선동,17,9,9,25,1.4
진해구,인사동,36,10,19,49,1.33
진해구,인의동,5,4,6,8,1.88
진해구,자은동,689,366,318,1078,1.27
진해구,장천동,158,109,86,266,1.33
진해구,제덕동,8,6,13,20,1.35
진해구,죽곡동,17,7,5,19,1.53
진해구,중앙동,1,0,2,3,1
진해구,중평동,10,0,6,11,1.45
진해구,창선동,6,3,3,8,1.5
진해구,청안동,411,183,120,511,1.4
진해구,충무동,42,24,36,77,1.32
진해구,충의동,25,12,22,34,1.74
진해구,태백동,77,23,76,121,1.45
진해구,태평동,31,18,47,64,1.5
진해구,통신동,0,0,1,1,1
진해구,평안동,5,0,0,3,1.67
진해구,풍호동,442,243,224,726,1.25
진해구,행암동,8,6,17,21,1.48
진해구,화천동,15,10,12,32,1.16
진해구,회현동,5,5,1,9,1.22
진해구,제황산동,84,42,79,130,1.58
