행정동,hospital,product,funeral,pharmacy,foster_place,adoption,complex,playground,photo,beauty
퇴계원읍,1,0,0,2,0,0,0,0,0,5
별내면,1,0,0,1,1,0,0,0,0,1
수동면,0,2,0,1,1,1,0,0,0,1
조안면,0,0,0,0,3,0,0,0,0,0
호평동,3,2,0,6,2,0,0,0,0,6
