,dog_facilities_name,dog_facilities_type,address_name,re_dog_facilities_type
0,펫조이,반려동물호텔,남양주 별내면,위탁
1,21세기청학보건당약국,약국,남양주 별내면,약국
2,멍뭉이발소,반려동물미용,남양주 별내면,미용
3,사랑동물병원,동물병원,남양주 별내면,병원
4,올피쉬코리아,수족관,남양주 별내면,0
5,예원펫,종합도소매,남양주 별내면,0
