,dog_facilities_name,dog_facilities_type,address_name,re_dog_facilities_type
0,마석보호소 봉사신청,동물보호단체,남양주 수동면,분양
1,댕댕살롱,반려동물미용,남양주 수동면,미용
2,푸른솔애견호텔,반려동물호텔,남양주 수동면,호텔
3,인생약국,약국,남양주 수동면,약국
4,스터디독스쿨,애견훈련,남양주 수동면,위탁
5,위주,반려동물용품,남양주 수동면,0
6,펫앤수,반려동물,남양주 수동면,0
7,동우크리스탈,반려동물용품,남양주 수동면,0
8,남양주야생동물관리센터,금속가공제품제조,남양주 수동면,0
9,펫노리,애견용품,남양주 수동면,용품
10,에이펙스,애견사료,남양주 수동면,0
11,플레멍,제조업,남양주 수동면,용품
12,큐티댕냥애견강아지고양이무료분양,반려동물,남양주 수동면,0
